Iss_Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Att_Age
47,0.47,0.55,0.77,0.94,1.05,1.24,1.45,1.62,1.81,2.10,2.44,2.78,3.15,3.58,4.10,4.74,5.39,5.94,6.48,7.18,8.22,9.57,10.77,12.12,13.65,15.48,72
48,0.50,0.58,0.84,1.02,1.18,1.40,1.60,1.77,2.00,2.35,2.72,3.06,3.44,3.90,4.48,5.17,5.85,6.44,7.09,7.97,9.23,10.74,12.10,13.62,15.40,17.55,73
49,0.52,0.64,0.92,1.11,1.32,1.56,1.74,1.92,2.22,2.63,3.01,3.34,3.73,4.24,4.88,5.63,6.35,7.00,7.79,8.87,10.36,11.99,13.56,15.37,17.43,19.89,74
50,0.52,0.72,1.01,1.22,1.48,1.70,1.87,2.09,2.47,2.94,3.31,3.65,4.05,4.63,5.34,6.14,6.91,7.65,8.62,9.91,11.56,13.30,15.14,17.29,19.72,22.48,75
51,0.53,0.82,1.12,1.35,1.63,1.82,1.99,2.29,2.76,3.26,3.62,4.01,4.43,5.10,5.90,6.75,7.57,8.44,9.61,11.11,12.91,14.77,16.86,19.35,22.18,25.32,76
52,0.53,0.93,1.24,1.51,1.77,1.94,2.15,2.52,3.07,3.60,3.97,4.39,4.90,5.70,6.58,7.50,8.40,9.50,10.80,12.49,14.45,16.50,18.85,21.68,24.89,28.46,77
53,0.54,1.04,1.38,1.71,1.92,2.09,2.35,2.80,3.42,3.95,4.36,4.83,5.52,6.45,7.42,8.39,9.47,10.74,12.24,14.10,16.20,18.63,21.40,24.58,28.04,31.99,78
54,0.54,1.13,1.54,1.88,2.06,2.24,2.58,3.15,3.80,4.34,4.80,5.41,6.32,7.37,8.38,9.45,10.68,12.12,13.94,16.02,18.34,21.22,24.42,27.96,31.81,36.04,79
55,0.59,1.19,1.71,2.03,2.21,2.44,2.88,3.56,4.22,4.79,5.37,6.18,7.25,8.36,9.43,10.64,12.05,13.79,15.91,18.27,20.96,24.22,27.81,31.77,36.04,40.76,80
56,0.70,1.24,1.88,2.19,2.40,2.70,3.28,4.01,4.67,5.31,6.06,7.09,8.29,9.41,10.57,11.98,13.70,15.74,18.14,20.81,23.88,27.50,31.68,36.04,40.76,46.15,81
57,0.85,1.28,2.04,2.37,2.64,3.03,3.75,4.50,5.17,5.92,6.87,8.09,9.37,10.55,11.87,13.53,15.61,17.97,20.66,23.68,27.24,31.37,35.97,40.76,46.15,52.27,82
58,1.05,1.35,2.17,2.57,2.87,3.44,4.25,5.00,5.71,6.63,7.78,9.13,10.50,11.86,13.38,15.33,17.81,20.50,23.47,26.82,30.96,35.72,40.76,46.15,52.27,59.31,83
59,1.26,1.46,2.27,2.72,3.13,3.90,4.74,5.49,6.31,7.42,8.78,10.25,11.74,13.26,15.02,17.36,20.25,23.31,26.65,30.56,35.26,40.57,46.15,52.27,59.31,67.48,84
60,1.44,1.62,2.38,2.82,3.45,4.35,5.20,5.99,6.96,8.28,9.82,11.41,13.00,14.70,16.83,19.62,22.94,26.42,30.30,34.87,40.24,46.15,52.27,59.31,67.48,76.96,85
61,1.56,1.84,2.50,2.98,3.82,4.79,5.64,6.52,7.68,9.19,10.84,12.52,14.25,16.26,18.85,22.11,25.88,29.90,34.52,39.81,45.87,52.27,59.31,67.48,76.96,87.87,86
